city,companyField,companyName,companySize,detailLink,experience,full_or_parttime,month_salary,positionName,qualification
,,,,,,,,,
成都,"移动互联网,数据服务",北京字节跳动科技有限公司,2000人以上,https://www.lagou.com/jobs/5059674.html,1-3年,全职,5k-8k,数据分析师,本科
,,,,,,,,,
成都,O2O,达疆网络科技（上海）有限公司,2000人以上,https://www.lagou.com/jobs/3477667.html,1-3年,全职,10k-20k,数据分析师,本科
,,,,,,,,,
北京,"移动互联网,O2O",贝壳找房（北京）科技有限公司,2000人以上,https://www.lagou.com/jobs/5139102.html,3-5年,全职,20k-35k,数据分析师,本科
,,,,,,,,,
上海,移动互联网,上海基分文化传播有限公司,500-2000人,https://www.lagou.com/jobs/4432464.html,5-10年,全职,20k-40k,数据分析,本科
,,,,,,,,,
北京,"移动互联网,O2O",北京自如友家资产管理有限公司,2000人以上,https://www.lagou.com/jobs/4983118.html,1-3年,全职,10k-20k,数据分析师,本科
,,,,,,,,,
北京,"移动互联网,金融",杭州财米科技有限公司,500-2000人,https://www.lagou.com/jobs/4155069.html,1-3年,全职,10k-15k,数据分析师 (MJ000766),不限
,,,,,,,,,
北京,"移动互联网,教育",北京世纪好未来教育科技有限公司,2000人以上,https://www.lagou.com/jobs/4858587.html,不限,全职,15k-30k,数据分析师,本科
,,,,,,,,,
广州,"移动互联网,社交网络",广州微咔世纪信息科技有限公司,50-150人,https://www.lagou.com/jobs/5081865.html,1-3年,全职,8k-15k,数据分析师,大专
,,,,,,,,,
北京,"移动互联网,电子商务",北京值得买科技股份有限公司,500-2000人,https://www.lagou.com/jobs/4445500.html,3-5年,全职,15k-30k,数据分析师,本科
,,,,,,,,,
北京,"移动互联网,信息安全",北京金山网络科技有限公司,500-2000人,https://www.lagou.com/jobs/4985342.html,3-5年,全职,15k-30k,数据分析,本科
,,,,,,,,,
北京,"广告营销,文化娱乐",北京奇艺世纪科技有限公司,2000人以上,https://www.lagou.com/jobs/4841348.html,1-3年,全职,7k-12k,数据分析师-销售,本科
,,,,,,,,,
深圳,移动互联网,OPPO广东移动通信有限公司,2000人以上,https://www.lagou.com/jobs/3868326.html,1-3年,全职,15k-30k,数据分析师,本科
,,,,,,,,,
杭州,"移动互联网,O2O",杭州大搜车汽车服务有限公司,2000人以上,https://www.lagou.com/jobs/4812837.html,3-5年,全职,10k-20k,数据分析师 08-02-29,本科
,,,,,,,,,
杭州,移动互联网,杭州铜板街互联网金融信息服务有限公司,150-500人,https://www.lagou.com/jobs/3917751.html,3-5年,全职,15k-30k,数据分析师,本科
,,,,,,,,,
上海,"移动互联网,教育",上海流利说信息技术有限公司,500-2000人,https://www.lagou.com/jobs/4618410.html,1-3年,全职,18k-32k,数据分析师,本科
,,,,,,,,,
成都,"移动互联网,数据服务",北京字节跳动科技有限公司,2000人以上,https://www.lagou.com/jobs/5090278.html,1-3年,全职,6k-10k,数据分析师,本科
,,,,,,,,,
上海,移动互联网,上海基分文化传播有限公司,500-2000人,https://www.lagou.com/jobs/5090491.html,3-5年,全职,20k-40k,数据分析师,本科
,,,,,,,,,
北京,"移动互联网,O2O",贝壳找房（北京）科技有限公司,2000人以上,https://www.lagou.com/jobs/5067624.html,3-5年,全职,20k-40k,数据分析,本科
,,,,,,,,,
杭州,"移动互联网,O2O",杭州大搜车汽车服务有限公司,2000人以上,https://www.lagou.com/jobs/1048957.html,1-3年,全职,10k-18k,数据分析师,本科
,,,,,,,,,
深圳,金融,众安在线财产保险股份有限公司,2000人以上,https://www.lagou.com/jobs/4668130.html,3-5年,全职,9k-10k,数据分析师,本科
,,,,,,,,,
北京,"移动互联网,教育",北京世纪好未来教育科技有限公司,2000人以上,https://www.lagou.com/jobs/4921350.html,3-5年,全职,25k-35k,数据分析师,本科
,,,,,,,,,
北京,"移动互联网,教育",小船出海教育科技（北京）有限公司,2000人以上,https://www.lagou.com/jobs/4538906.html,3-5年,全职,20k-35k,数据分析师,本科
,,,,,,,,,
北京,"移动互联网,旅游",北京蚂蜂窝网络科技有限公司,500-2000人,https://www.lagou.com/jobs/2853840.html,1-3年,全职,15k-30k,数据分析师,本科
,,,,,,,,,
深圳,"移动互联网,金融",深圳市随手科技有限公司,500-2000人,https://www.lagou.com/jobs/4836304.html,1-3年,全职,10k-20k,数据分析师,本科
,,,,,,,,,
北京,"广告营销,文化娱乐",北京奇艺世纪科技有限公司,2000人以上,https://www.lagou.com/jobs/4721458.html,1-3年,全职,6k-12k,数据分析师,本科
,,,,,,,,,
北京,"移动互联网,电子商务",北京值得买科技股份有限公司,500-2000人,https://www.lagou.com/jobs/5093836.html,1-3年,全职,12k-15k,数据分析-商品库,本科
,,,,,,,,,
杭州,"移动互联网,O2O",杭州优行科技有限公司,500-2000人,https://www.lagou.com/jobs/4604559.html,1-3年,全职,6k-10k,数据分析-专车,本科
,,,,,,,,,
郑州,不限 移动互联网,郑州蓝之海软件科技有限公司,2000人以上,https://www.lagou.com/jobs/4707336.html,不限,全职,4k-8k,数据分析,硕士
,,,,,,,,,
北京,"企业服务,招聘",北京拉勾网络技术有限公司,500-2000人,https://www.lagou.com/jobs/5133068.html,1-3年,全职,15k-30k,数据分析工程师,本科
,,,,,,,,,
上海,"移动互联网,教育",上海流利说信息技术有限公司,500-2000人,https://www.lagou.com/jobs/4390246.html,不限,全职,5k-7k,数据分析专员,本科
,,,,,,,,,
北京,"移动互联网,O2O",贝壳找房（北京）科技有限公司,2000人以上,https://www.lagou.com/jobs/4824039.html,5-10年,全职,25k-40k,数据分析类,本科
,,,,,,,,,
北京,"移动互联网,数据服务",北京字节跳动科技有限公司,2000人以上,https://www.lagou.com/jobs/5123505.html,不限,全职,15k-25k,数据分析师,本科
,,,,,,,,,
上海,金融,众安在线财产保险股份有限公司,2000人以上,https://www.lagou.com/jobs/5090369.html,1-3年,全职,15k-25k,数据分析师,本科
,,,,,,,,,
北京,移动互联网,上海基分文化传播有限公司,500-2000人,https://www.lagou.com/jobs/5115494.html,不限,全职,10k-20k,数据分析师,本科
,,,,,,,,,
北京,"移动互联网,教育",北京世纪好未来教育科技有限公司,2000人以上,https://www.lagou.com/jobs/4970861.html,3-5年,全职,15k-30k,数据分析,本科
,,,,,,,,,
北京,"移动互联网,电子商务",北京值得买科技股份有限公司,500-2000人,https://www.lagou.com/jobs/5098019.html,3-5年,全职,13k-25k,策略/数据分析师,硕士
,,,,,,,,,
上海,"广告营销,文化娱乐",北京奇艺世纪科技有限公司,2000人以上,https://www.lagou.com/jobs/4965050.html,1-3年,全职,8k-16k,数据分析(base上海),本科
,,,,,,,,,
深圳,"移动互联网,金融",深圳市随手科技有限公司,500-2000人,https://www.lagou.com/jobs/5051290.html,3-5年,全职,15k-30k,数据分析师-高级,本科
,,,,,,,,,
北京,"移动互联网,O2O",北京自如友家资产管理有限公司,2000人以上,https://www.lagou.com/jobs/4270802.html,1-3年,全职,7k-14k,数据分析专员,本科
,,,,,,,,,
南京,"移动互联网,其他",南京石匠网络科技有限公司,15-50人,https://www.lagou.com/jobs/5070835.html,1-3年,全职,8k-12k,数据分析师,本科
,,,,,,,,,
大连,"移动互联网,数据服务",联想（北京）有限公司,2000人以上,https://www.lagou.com/jobs/5138763.html,1-3年,全职,8k-13k,数据分析师,本科
,,,,,,,,,
北京,数据服务,联通大数据有限公司,50-150人,https://www.lagou.com/jobs/4141532.html,1-3年,全职,20k-25k,数据分析,本科
,,,,,,,,,
上海,"移动互联网,企业服务",北京盛安德科技发展有限公司,150-500人,https://www.lagou.com/jobs/4512248.html,3-5年,全职,15k-25k,数据分析师,本科
,,,,,,,,,
北京,金融,普信恒业科技发展（北京）有限公司,2000人以上,https://www.lagou.com/jobs/4779510.html,5-10年,全职,40k-50k,数据分析,本科
,,,,,,,,,
北京,金融,京东金融,2000人以上,https://www.lagou.com/jobs/5136058.html,5-10年,全职,25k-50k,数据分析师,硕士
,,,,,,,,,
天津,"移动互联网,数据服务",北京字节跳动科技有限公司,2000人以上,https://www.lagou.com/jobs/5121442.html,3-5年,全职,8k-12k,数据分析师,本科
,,,,,,,,,
北京,"移动互联网,O2O",贝壳找房（北京）科技有限公司,2000人以上,https://www.lagou.com/jobs/5062901.html,3-5年,全职,25k-30k,数据分析师,本科
,,,,,,,,,
北京,"移动互联网,教育",北京世纪好未来教育科技有限公司,2000人以上,https://www.lagou.com/jobs/5085130.html,1-3年,全职,15k-25k,数据分析师-脑科学,硕士
,,,,,,,,,
上海,移动互联网,上海基分文化传播有限公司,500-2000人,https://www.lagou.com/jobs/4484600.html,3-5年,全职,15k-30k,数据分析与开发工程师,本科
,,,,,,,,,
杭州,金融,众安在线财产保险股份有限公司,2000人以上,https://www.lagou.com/jobs/4495630.html,1-3年,全职,15k-30k,数据分析师,本科
,,,,,,,,,
